,Site_code,Longitude,lattitude,Month,total_Ixodes_Scapularis_nymphs,total_infected_ixodes_scapularis_nymphs,total_Borrelia_burgdorferi,total_Borrelia_Mayonii,total_Borrelia_miyamotoi,total_Babesia_microti,total_Ehrlichia_muris,total_Anaplasma_phagocytophilum,total_Powassan_DTV,total_coinfection_individuals,percent_infected_nymphs,percent_infection_Bb,percent_infection_Borrelia_miyamotoi,percent_infection_Borrelia_mayonii,percent_infection_Babesia_microti,percent_infection_Ehrlichia_muris,percent_infection_Anaplasma_phagocytophilum,percent_infection_Powassan_DTV,percent_total_coinfection_individuals
38,SB_30_2,-71.3755,41.509,7,34,19,14,0,1,5,0,4,0,5,55.88235294,41.17647059,2.941176471,0,14.70588235,0,11.76470588,0,14.70588235
39,SB_37_1,-71.3535,41.4509,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,SB_37_1,-71.3535,41.4509,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,SO_27_2,-71.7786,41.5071,7,3,1,1,0,0,0,0,0,0,0,33.33333333,33.33333333,0,0,0,0,0,0,0
42,SO_28_3,-71.6581,41.5315,6,20,8,6,0,0,6,0,1,0,5,40,30,0,0,30,0,5,0,25
43,SO_28_3,-71.6581,41.5315,7,21,8,7,0,0,2,0,0,0,1,38.0952381,33.33333333,0,0,9.523809524,0,0,0,4.761904762
44,SO_29_2,-71.4809,41.8809,6,36,15,10,0,1,1,0,3,0,0,41.66666667,27.77777778,2.777777778,0,2.777777778,0,8.333333333,0,0
45,SO_29_2,-71.4809,41.8809,7,16,3,3,0,0,1,0,0,0,1,18.75,18.75,0,0,6.25,0,0,0,6.25
46,SO_29_3,-71.5889,41.5549,6,45,17,14,0,2,4,0,1,0,4,37.77777778,31.11111111,4.444444444,0,8.888888889,0,2.222222222,0,8.888888889
47,SO_29_3,-71.5889,41.5549,7,5,2,1,0,0,1,0,0,0,0,40,20,0,0,20,0,0,0,0
48,SO_34_1,-71.6076,41.4296,6,10,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,10,0,0
49,SO_34_1,-71.6076,41.4296,7,9,5,4,0,0,1,0,1,0,1,55.55555556,44.44444444,0,0,11.11111111,0,11.11111111,0,11.11111111
50,SO_34_2,-71.6479,41.4274,6,10,4,1,0,0,0,0,3,0,0,40,10,0,0,0,0,30,0,0
51,SO_34_2,-71.6479,41.4274,7,31,7,6,0,0,1,0,0,0,0,22.58064516,19.35483871,0,0,3.225806452,0,0,0,0
52,SO_34_3,-71.6882,41.4663,6,32,9,6,0,0,2,0,1,0,0,28.125,18.75,0,0,6.25,0,3.125,0,0
53,SO_34_3,-71.6882,41.4663,7,6,3,2,0,0,0,0,1,0,0,50,33.33333333,0,0,0,0,16.66666667,0,0
54,SO_35_1,-71.4889,41.4635,6,22,7,4,0,1,1,0,1,0,0,31.81818182,18.18181818,4.545454545,0,4.545454545,0,4.545454545,0,0
55,SO_35_1,-71.4889,41.4635,7,20,10,7,0,1,1,0,3,0,2,50,35,5,0,5,0,15,0,10
56,SO_35_2,-71.5751,41.4693,6,26,11,6,0,0,5,0,2,0,2,42.30769231,23.07692308,0,0,19.23076923,0,7.692307692,0,7.692307692
57,SO_35_2,-71.5751,41.4693,7,5,1,1,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
58,SO_35_3,-71.5218,41.41748,6,18,5,5,0,0,0,0,2,0,2,27.77777778,27.77777778,0,0,0,0,11.11111111,0,11.11111111
59,SO_35_3,-71.5218,41.41748,7,2,1,0,0,0,0,0,0,1,0,50,0,0,0,0,0,0,50,0
60,SO_40_1,-71.7824,41.3427,6,8,1,0,0,0,0,0,1,0,0,12.5,0,0,0,0,0,12.5,0,0
61,SO_40_1,-71.7824,41.3427,7,7,2,1,0,0,0,0,1,0,0,28.57142857,14.28571429,0,0,0,0,14.28571429,0,0
62,SO_41_1,-71.6756,41.3759,6,25,6,4,0,1,1,0,0,1,1,24,16,4,0,4,0,0,4,4
63,SO_41_1,-71.6756,41.3759,7,15,4,4,0,0,0,0,0,0,0,26.66666667,26.66666667,0,0,0,0,0,0,0
64,SO_42_1,-71.584,41.3753,6,86,18,2,0,2,4,0,12,0,2,20.93023256,2.325581395,2.325581395,0,4.651162791,0,13.95348837,0,2.325581395
65,SO_42_1,-71.584,41.3753,7,170,44,11,0,0,10,0,26,2,5,25.88235294,6.470588235,0,0,5.882352941,0,15.29411765,1.176470588,2.941176471
